GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
yoga-app,com.openclassrooms.starterjwt.security.jwt,AuthEntryPointJwt,0,7,0,0,0,2,0,2,0,2
yoga-app,com.openclassrooms.starterjwt.security.jwt,JwtUtils,7,90,0,0,2,22,0,5,0,5
yoga-app,com.openclassrooms.starterjwt.security.jwt,AuthTokenFilter,0,76,0,8,0,19,0,8,0,4
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsImpl.UserDetailsImplBuilder,14,49,0,0,0,1,1,8,1,8
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsServiceImpl,0,39,0,0,0,13,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.security.services,UserDetailsImpl,0,78,0,6,0,19,0,17,0,14
yoga-app,com.openclassrooms.starterjwt.controllers,UserController,0,43,0,0,0,8,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.controllers,SessionController,0,115,0,0,0,26,0,8,0,8
yoga-app,com.openclassrooms.starterjwt.controllers,TeacherController,0,35,0,0,0,6,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.controllers,AuthController,0,22,0,0,0,5,0,3,0,3
yoga-app,com.openclassrooms.starterjwt.services,UserService,0,38,0,2,0,8,0,5,0,4
yoga-app,com.openclassrooms.starterjwt.services,SessionService,7,250,2,16,0,55,3,23,1,16
yoga-app,com.openclassrooms.starterjwt.services,AuthService,0,119,0,4,0,22,0,7,0,5
yoga-app,com.openclassrooms.starterjwt.services,TeacherService,0,23,0,0,0,4,0,4,0,4
yoga-app,com.openclassrooms.starterjwt.configuration,AppConfig,0,15,0,0,0,4,0,2,0,2
yoga-app,com.openclassrooms.starterjwt,SpringBootSecurityJwtApplication,5,3,0,0,2,1,1,1,1,1
yoga-app,com.openclassrooms.starterjwt.security,WebSecurityConfig,0,91,0,0,0,22,0,10,0,10
